Symbol,Description,Quantity,Date Acquired,Term,Cost Per Share,Cost Basis Total
AAPL,APPLE INC,100.000,05/12/2021,Long-term,$120.40,"$12,040.00"
AAPL,APPLE INC,50.000,03/09/2023,Long-term,$180.15,"$9,007.50"
AAPL,APPLE INC,30.000,06/03/2024,Long-term,$212.80,"$6,384.00"
MSFT,MICROSOFT CORP,95.000,02/18/2021,Long-term,$238.60,"$22,667.00"
MSFT,MICROSOFT CORP,25.000,11/14/2023,Long-term,$362.45,"$9,061.25"
NVDA,NVIDIA CORP,140.000,03/09/2023,Long-term,$168.20,"$23,548.00"
AMZN,AMAZON COM INC,60.000,07/25/2022,Long-term,$118.90,"$7,134.00"
GOOGL,ALPHABET INC CAP STK CL A,75.000,11/03/2022,Long-term,$105.44,"$7,908.00"
JPM,JPMORGAN CHASE & CO,120.000,09/14/2020,Long-term,$131.10,"$15,732.00"
V,VISA INC COM CL A,90.000,08/30/2021,Long-term,$205.75,"$18,517.50"
UNH,UNITEDHEALTH GROUP INC,35.000,01/11/2022,Long-term,$412.60,"$14,441.00"
UNH,UNITEDHEALTH GROUP INC,15.000,04/22/2024,Long-term,$492.30,"$7,384.50"
XOM,EXXON MOBIL CORP,220.000,04/06/2022,Long-term,$61.25,"$13,475.00"
KO,COCA COLA CO,300.000,10/22/2019,Long-term,$55.80,"$16,740.00"
COST,COSTCO WHOLESALE CORP NEW,40.000,06/19/2023,Long-term,$478.15,"$19,126.00"
PG,PROCTER & GAMBLE CO,110.000,12/01/2020,Long-term,$138.45,"$15,229.50"
